source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,Fe_H,Fe_H_error,E_BV,E_BV_error,Distance_modulus,Distance_modulus_error,NA
5980041433343946112,256.63702170542075,-32.78769118325173,RRab,0.3985077969891549,0.26918954,0.009116668,0.13026515,0.014189292,0.063076675,0.012845559,3.9714396,0.084171675,1.9768214,0.24881783,-0.7235061572898099,0.4512381641870892,0.5462,0.0097,15.000443524041144,0.6259292445769656,
4040899845642772992,266.2672415082946,-36.55141456842809,RRab,0.4698925050424323,0.17320377,0.00392837,0.06798576,0.004638003,0.04201402,0.005555738,4.389615,0.08473211,2.8262367,0.13074702,-0.3212409049854993,0.4335665038981633,1.2004,0.0389,14.205469053395944,0.6025454441506172,
4041731454386717312,266.33028173682385,-34.389106059542506,RRab,0.43014148069133,0.24749048,0.004701284,0.08847975,0.0042087045,0.036634706,0.003215484,4.503188,0.070671715,2.836143,0.14837997,-0.0913107978368817,0.4303974169249341,1.1131,0.0131,12.68813442339433,0.5768399947774423,
4040140632990620288,266.3489134408378,-36.731568749888815,RRab,0.4256615999328907,0.21141592,0.008904228,0.09376042,0.009316724,0.045001566,0.009353793,4.3513165,0.06793198,2.8006468,0.19644873,-0.0998138876275435,0.4623024347966999,1.0402,0.0546,14.664387688535712,0.5867316992372194,
4040067760223490176,266.59486851832605,-37.20029864826761,RRab,0.4666527395884149,0.08687895,0.0029914165,0.037831612,0.0034060632,0.026403366,0.0034495387,3.948869,0.08346475,1.9222422,0.18640392,-1.1530150367157028,0.413585368053659,0.7179,0.0295,12.646304810280396,0.7196944436274763,
4068884104490434560,266.97667252431654,-23.014797640633223,RRab,0.3836841625096117,0.31028342,0.0036190064,0.12985264,0.0031747015,0.06337362,0.0043121222,4.086127,0.029634465,1.8431488,0.049791295,-0.7668872299283448,0.3555566485109445,0.9737,0.0378,14.841944224379937,0.6517717678809732,
4068929321923780864,267.48569612916776,-22.46548144871161,RRab,0.4055310617663205,0.24848363,0.008099284,0.11951118,0.0111442,0.082001686,0.010665274,4.372866,0.11957144,2.4788659,0.26490742,-0.2905634468030785,0.4529099958959455,1.259,0.0551,14.548612765104862,0.5971220335609317,
4040646309540271616,267.6418680005955,-35.89719662394744,RRab,0.3656858674525191,0.30088344,0.031547774,0.1296413,0.023273332,0.048392452,0.022845155,4.0480127,0.105476715,1.5835525,0.57173365,-0.9110172143614812,0.668481429111847,0.5171,0.0224,15.225501220021211,0.7343554907778217,
4043409141755979392,267.7631801667781,-33.15199974431605,RRab,0.3995211935696273,0.25644916,0.02931716,0.10966325,0.022147818,0.062151343,0.021797827,3.7934246,0.3192089,1.8334252,0.59693635,-0.8639229363114315,0.6435524208641725,1.0695,0.0408,14.4029684221672,0.7345832896359114,
4040379158165263232,268.35766300779204,-36.30824017192158,RRab,0.3388028051504331,0.30474785,0.022902917,0.15404412,0.015389402,0.08298815,0.018631311,4.212321,0.091865115,2.1419811,0.26953837,-0.2368933345849037,0.4256525079732645,0.5286,0.0123,13.391133533683773,0.5756710009874174,
4056482090121353344,268.5434594938063,-29.79145986402558,RRab,0.3618790707484661,0.28958562,0.023137175,0.15725581,0.021717407,0.0810372,0.021038014,4.0718756,0.19490887,1.8791053,0.33685255,-0.612069860653987,0.4933981344247243,0.8493,0.0213,14.705632760983116,0.6382467331016954,
4056302152498717440,269.2232259733412,-29.908417871466025,RRab,0.391386420216109,0.23209743,0.017570466,0.10960707,0.018916419,0.0875637,0.014087546,4.244172,0.22771567,2.5651195,0.30707607,-0.1309823021994044,0.480974774670231,1.4081,0.1718,14.019338444615835,0.7133743791800076,
