#,source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
4121175739341068160,260.59295737142173,-20.569063575662163,RRc,0.241337585524159,0.19767763,0.003183199,0.040294472,0.0046405704,0.022830222,0.002944329,4.55909,0.0640463,2.5028749,0.15166534,-1.0617121218563172,0.3131638779388174,0.5992,0.0271,14.659288194119767,0.6916029063785764,
4121293357082519424,261.21618754598165,-20.194835426646257,RRc,0.2391433413327811,0.18715017,0.0023801294,0.031094378,0.003218865,0.013884789,0.002977135,4.672895,0.10296239,2.9138615,0.17077655,-0.8625174805019504,0.3071833772475856,0.6679,0.0091,14.278829494540547,0.648793293357078,
4123042611351475968,261.44083048236547,-17.09344528702293,RRc,0.2391533231795578,0.18710081,0.0018522367,0.024340311,0.0016188428,0.018505726,0.0018710414,4.782283,0.10926847,3.1494873,0.13289517,-0.7453258056934231,0.3181762041400087,0.3154,0.0071,14.087788825594158,0.6303816093623535,
4124260487938060672,262.38732630971805,-17.68359974030072,RRc,0.2278374493590915,0.17616117,0.0025731754,0.023408784,0.0037429675,0.011684334,0.0024042323,4.5717363,0.12195849,3.3602796,0.23342425,-0.591505552086641,0.3247357489839171,0.4028,0.0126,14.551556754584258,0.6032597552859046,
5959331341559420928,262.6959312709618,-41.059082408812486,RRc,0.2330551834035702,0.17272569,0.006276515,0.026078116,0.0055209696,0.017318118,0.005297604,4.496902,0.15008183,3.1380746,0.40472654,-0.7121037117064892,0.3316145761298136,0.9074,0.007,14.832015639277817,0.6272460125674459,
4123350538981347456,263.3657792892353,-18.499919089140533,RRc,0.2098556299519294,0.1577037,0.0013254675,0.022387914,0.0013210365,0.005597531,0.0016095783,4.5939603,0.057580087,3.1563375,0.262273,-0.475312571549477,0.3278549939526022,0.5242,0.012,14.367495320033854,0.588924082908338,
4123169261410234624,264.2325003824373,-18.612911200271288,RRc,0.2188340940140386,0.12826389,0.0019659812,0.015702907,0.0016630206,0.0038298797,0.0020032846,4.51418,0.12477071,2.9239974,0.47443026,-0.5429889122598894,0.3268532225871021,0.5309,0.0162,13.972667495432768,0.5898336154771594,
4123264231721916160,264.7700265377234,-18.256802687992224,RRc,0.2318920495159505,0.14505337,0.0016826526,0.017244708,0.0019665658,0.006738844,0.0014984027,4.5042324,0.13227114,3.6154783,0.30816898,-0.5098636665862168,0.3246468653646709,0.5473,0.0322,13.71286002664414,0.594068393677438,
4120176974818237568,265.5885298337282,-18.772852849182502,RRc,0.241221853675195,0.17449325,0.0028014083,0.023728838,0.0026951092,0.010788508,0.0034371074,4.723929,0.19905251,2.7479727,0.28142446,-0.849628256306165,0.3147471942357337,0.65,0.0052,14.301002911765726,0.6561488121165379,
4161957793843469056,266.1688713539289,-12.431693375284263,RRc,0.2122810097428288,0.14524963,0.001690703,0.019701924,0.0021349576,0.006187771,0.0027100293,4.357381,0.11471576,3.1743271,0.29321066,-0.4668005603637575,0.3167706525691326,0.6369,0.0186,13.99240075690185,0.5868386741708026,
4120747621382258560,266.6791955104638,-17.54739934490184,RRc,0.2115865037951171,0.16219307,0.000865341,0.024027936,0.00077962707,0.008218482,0.00084607734,4.5900426,0.037964504,2.835369,0.084960915,-0.5792347946502996,0.3035861415412972,0.5167,0.0291,12.108387542502085,0.5953873417012059,
4147911640256530432,266.69804317713005,-16.214156143651046,RRc,0.2293615111435671,0.17589809,0.0018343638,0.02789692,0.002326496,0.0065097795,0.0030096958,4.7069087,0.06436945,2.942296,0.26157433,-0.7425764579660628,0.3260050363750681,0.642,0.0206,14.264333408230495,0.6322374489069792,
5956426092571997952,267.3206048440894,-42.820720072027456,RRc,0.229388007854132,0.18022463,0.0024795556,0.028212437,0.0022799978,0.009059318,0.0043775323,4.6230507,0.10104789,2.9723017,0.2271076,-0.738848357654287,0.3185603738831279,0.2412,0.0093,14.716005340143198,0.6272771821478474,
5958188674098101632,267.42718901147174,-39.28238233637577,RRc,0.2393717059014038,0.19350691,0.0021015662,0.028554102,0.0030337195,0.0135113,0.002126087,4.471,0.068497464,3.103468,0.20342183,-0.7971320410779883,0.3131507324235164,0.433,0.0114,13.589054971501838,0.6415990376507024,
5958133118742749440,267.5006949873144,-39.87254151001407,RRc,0.2354758856450271,0.19095308,0.0038371002,0.03434328,0.004570934,0.014154163,0.00437528,4.701736,0.19335762,3.215366,0.3363676,-0.7921961186085311,0.329809367767875,0.378,0.0084,14.890661913210389,0.6537946824508616,
4148514546206846848,268.50661627210616,-14.692381668881843,RRc,0.2422378720401509,0.15864724,0.0059913853,0.021659926,0.013269657,0.019767456,0.010359042,4.9393544,0.2654388,2.9356694,0.3018266,-0.7958111740628884,0.3483237396704897,0.9115,0.0134,15.016107128737607,0.6385348266619972,
4035283716390667776,270.07854753387,-41.021202820222655,RRc,0.2276655016412606,0.20126946,0.003204418,0.031817794,0.0037336566,0.014732689,0.00511743,4.61607,0.09854073,2.2592697,0.12238998,-0.9218095489763652,0.2964210696724971,0.19,0.0064,14.05445267371338,0.6662606305021164,
6725428334637319936,271.26218577882514,-41.58041619730143,RRc,0.2364350132215932,0.20368539,0.008639485,0.03416182,0.00794713,0.01708383,0.00884121,4.3748264,0.24096194,3.0013757,0.4229524,-0.8479100007124054,0.3395151898908315,0.1454,0.0042,14.414170400199474,0.6471181242361608,
4037871275218073856,272.16391874317657,-36.90833637691622,RRc,0.223709780735768,0.15721737,0.004144259,0.019998105,0.004215391,0.00916913,0.0041095945,4.9694934,0.17774083,3.5821962,0.5750971,-0.4733587021834584,0.3527860601639031,0.1588,0.0034,15.19881563661137,0.5964453466463098,
4038813389226419456,272.4243688260145,-35.39807170103047,RRc,0.2265348761894472,0.18605661,0.0023029984,0.02578357,0.0022294212,0.011270069,0.0024294024,4.418522,0.105038226,3.2582722,0.21913075,-0.6260237804578788,0.3196607829297949,0.2669,0.0052,14.902584258528206,0.6039066061271414,
4038019674931578752,272.90090358159165,-36.04255169334243,RRc,0.2331399223671738,0.19102167,0.0030688941,0.03146666,0.0034422856,0.008376195,0.0033156825,4.639529,0.09432743,3.237041,0.30598825,-0.740394111415664,0.3309806050707404,0.1947,0.011,14.675500151196385,0.64319777293267,
